cohort_year,avg_sip_amount,total_investment,top_fund_preference
2024,10996.885825361911,3491125187,Mirae Asset Emerging Bluechip Fund - Regular - Growth
2025,13505.209580838324,30455243,SBI Small Cap Fund - Direct Plan - Growth
